date,open,high,low,close,volume,sma_20,ema_20,sma_50,ema_50,sma_100,ema_100,sma_200,ema_200,sma_golden_cross,sma_death_cross,sma_cross_signal,ema_golden_cross,ema_death_cross,ema_cross_signal,rsi_14,rsi_signal,rsi_crossover,std_20,upper_band_20,lower_band_20,daily_return,cumulative_return,volatility_14,vol_category,macd,macd_signal,macd_histogram,high_low_spread,high_low_percent,fear_greed_index,fear_greed_label,open_interest,high_oi,low_oi,close_oi,open_rate,high_rate,low_rate,close_rate,long_liq,short_liq,long_ratio,short_ratio
2023-10-29,34124.0,34755.0,33945.0,34583.0,780.70329003,30082.75,31053.31839855301,28134.24,29109.64764883149,27970.55,28367.39978296036,28204.375,27593.36900669837,False,False,0,False,False,0,84.8672648228656,Overbought,False,3022.947861991059,40122.16198452619,21984.47481257983,0.0134212454212454,7145.247933884315,2.8034143647645178,High,1644.8024949556166,1141.1571766143345,503.6453183412823,810.0,2.386212991604065,72.0,Greed,2924895055.2384,3138038514.7228,2898427364.08,3040769376.8068,0.01,0.01,0.01,0.01,30.91600000000001,63.76200000000004,32.65383721667124,67.34616278332877
2023-10-30,34587.0,34860.0,34095.0,34439.0,2007.45332097,30434.5,31375.764265357484,28307.16,29318.64185868124,28016.53,28487.629490228468,28224.75,27661.484737975003,False,False,0,False,False,0,81.29662708836818,Overbought,False,3103.0775301134904,40684.99685569796,22066.531675017013,-0.0041638955556198,7115.495867768613,2.6666997580240026,High,1725.455284388474,1258.0167981691625,467.4384862193117,765.0,2.2437307523097227,68.0,Greed,3037027025.7912,3058081351.2678003,2928306087.3456006,2993211875.0274005,0.01,0.01,0.01,0.01,155.57500000000005,89.0770000000001,63.59032421562053,36.409675784379466
2023-10-31,34447.0,34613.0,34061.0,34553.0,1142.13001689,30824.5,31678.358144847247,28498.12,29523.91080539962,28061.17,28607.735836956617,28245.805,27730.057029139432,False,False,0,False,False,0,81.42737896494157,Overbought,False,3106.1849421335683,40996.91297124795,22359.803318446546,0.0033102006446179,7139.049586776877,2.6611595798159127,High,1791.486142931626,1364.7106671216552,426.7754758099709,552.0,1.620621825548281,66.0,Greed,3007915851.1934004,3061851794.8354,2952252604.5642004,3058002232.2038,0.01,0.01,0.01,0.01,70.80300000000013,83.20400000000011,45.97388430396022,54.02611569603978
2023-11-01,34541.0,35191.0,34102.0,34575.0,1955.89642581,31218.0,31954.228797718937,28668.2,29721.99273459964,28115.85,28725.89948374956,28266.84,27798.16591442163,False,False,0,False,False,0,83.82604970008569,Overbought,False,3054.922154232657,41118.99526041691,22789.46233502097,0.0006367030359157,7143.595041322331,2.605477400175317,High,1840.085096271363,1459.7855529515969,380.2995433197661,1089.0,3.1933610931910152,66.0,Greed,3127331094.8674,3321838478.4914,2954487940.4846,3076648454.5126,0.01,0.01,0.01,0.01,92.165,250.46699999999944,26.8991220901726,73.10087790982742
2023-11-02,34575.0,35968.0,34320.0,34996.0,2134.51787685,31629.25,32243.92129317428,28845.2,29928.81654892906,28173.86,28850.05989001194,28290.21,27869.786154079127,False,False,0,False,False,0,83.65093113902122,Overbought,False,2977.4006833054545,41176.12334309064,23311.71924325792,0.012176428054953,7230.578512396712,2.6041622111736884,High,1893.486775895486,1546.5257975403747,346.96097835511137,1648.0,4.801864801864801,72.0,Greed,3035109521.808,3100398592.668,2821610556.4452,2845414373.0726995,0.01,0.01,0.01,0.01,142.80099999999985,110.44500000000014,56.388254898399126,43.61174510160088
2023-11-03,35015.0,35108.0,34132.0,34543.0,1377.30768063,32012.95,32462.88117001482,29002.28,30109.764919559293,28225.26,28962.791377338435,28315.58,27936.186291849484,False,False,0,False,False,0,77.91404140414042,Overbought,False,2822.082349408411,40929.12821824005,23996.63412178959,-0.0129443364955994,7136.983471074398,2.669251056539026,High,1907.0277780946271,1618.626193651225,288.4015844434018,976.0,2.859486698699168,65.0,Greed,2826325267.6428003,2970413855.2872,2820883342.7124004,2826942691.86,0.01,0.01,0.01,0.01,182.2419999999996,89.3200000000001,67.10880020032249,32.8911997996775
2023-11-04,34546.0,34997.0,34498.0,34754.0,614.29156601,32398.45,32681.082963346744,29169.28,30291.89178545893,28281.22,29077.46877580698,28338.17,28004.02523421914,False,False,0,False,False,0,76.91403034223215,Overbought,False,2627.481413124773,40563.52720272106,24798.638723972424,0.0061083287496743,7180.5785123967125,2.660453994288726,High,1919.6201960844191,1678.8249941378642,240.79520194655493,499.0,1.4464606643863411,68.0,Greed,2857324147.926,2957855721.4794,2853870378.6609,2930310260.6841,0.01,0.01,0.01,0.01,20.87800000000001,85.93,19.54722492697177,80.45277507302822
2023-11-05,34753.0,35330.0,34736.0,35050.0,691.03934266,32726.85,32906.69410969468,29339.38,30478.484264460545,28338.53,29195.73672084051,28367.195,28074.134435868706,False,False,0,False,False,0,80.58469880938347,Overbought,False,2520.492000321475,40468.1701106591,25345.21810873025,0.0085170052368073,7241.735537190101,2.593106074010503,High,1935.5886124852696,1730.1777178073453,205.41089467792423,594.0,1.7100414555504375,70.0,Greed,2927228457.3295,3079764439.7785,2916444281.007,3014233690.7065,0.01,0.01,0.01,0.01,76.20400000000011,119.87100000000018,38.86472013260232,61.135279867397685
2023-11-06,35052.0,35396.0,34495.0,34958.0,1233.50588179,33048.3,33102.056575438044,29508.3,30654.15154820719,28394.72,29309.8409441902,28401.525,28142.63061063618,False,False,0,False,False,0,75.35780076519768,Overbought,False,2361.91494788719,40187.80141909962,26016.31173177648,-0.0026248216833095,7222.727272727291,2.3571407574793803,High,1934.9636654455755,1771.134907334991,163.82875811058398,901.0,2.611972749673866,74.0,Greed,3018111478.6032,3110118432.9516,3015445117.9314003,3020464916.9226,0.01,0.01,0.01,0.01,76.17500000000013,87.13000000000018,46.64584672851412,53.354153271485885
2023-11-07,34957.0,35521.0,34530.0,35382.0,1500.51828274,33404.45,33319.194044443946,29679.32,30839.557369846127,28456.57,29430.08171757257,28442.06,28214.664136898507,False,False,0,False,False,0,65.50287641341004,Neutral,False,2127.09471926784,39700.47820224747,26937.909886640424,0.0121288403226729,7310.330578512416,1.2604024400818044,Low,1945.954517399412,1806.098829347876,139.85568805153662,991.0,2.869968143643209,68.0,Greed,3050287076.3395,3273811780.6765003,3045073362.995,3142690783.007,0.01,0.01,0.01,0.01,104.4200000000001,123.14700000000012,45.88538760013534,54.11461239986465
